author,brief,cate,time,title,type_1,type_2
卖报小郎君, 亘古通今，传闻世有灵境。关于灵境的说法，历朝历代的名人雅士众说纷纭，诗中记载：“自齐至唐，兹山濅荒，灵境寂寥，罕有人游。”“灵境不可状，鬼工谅难求。” ,连载,2022-06-13 23:02,灵境行者,科幻,进化变异
会说话的肘子, 蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。 ,连载,2022-06-13 22:09,夜的命名术,都市,异术超能
宅猪, 作为捕蛇者，许应一直老老实实勤恳本分，直到这一天，他捉到一条不一样的蛇……三月初一，神州大地，处处香火袅袅，守护着各个村落、乡镇、城郭、州郡的神像纷纷苏醒，享受黎民百姓的祭祀。然而，从这一天开始，天下已乱。本书又名《九九六修仙》《零零七也修真》《内卷》《卷到死》《谁TM也别想飞升》《好坑》《坑大坑深》《扶我起来》《三十五岁那年，我的福报来了》及《许大妖王现形记》等！ ,连载,2022-06-13 20:52,择日飞升,仙侠,幻想修仙
耳根, 天地是万物众生的客舍，光阴是古往今来的过客。死生的差异，就好像梦与醒的不同，纷纭变换，不可究诘。那么超越了生死，超脱了天地，在光阴之外，等待我们的是什么？这是耳根继《仙逆》《求魔》《我欲封天》《一念永恒》《三寸人间》后，创作的第六部长篇小说《光阴之外》 ,连载,06-13 14:01,光阴之外,仙侠,神话修真
纯洁滴小龙, 我喜欢坐在夜晚空无一人的大街上，听着“他们”的窃窃私语，享受着“他们”的喧嚣。 ,连载,2022-06-13 23:58,明克街13号,都市,异术超能
轻泉流响, 这是一个以御兽为主流的异世界。动物，植物，元素，死灵，机械……九尾炎狐，生命古树，雷云精灵，骷髅君主，机械舰娘乃至孕育出灵的古董刀剑皆可作为宠兽，而契约、培养，御使它们的人类，则被统称为御兽师！神话学者兼考古学家时宇穿越而来，为了探寻空白的历史与失落的神话，他选择踏上了一条极为不科学的御兽之路… ,连载,2022-06-13 22:06,不科学御兽,玄幻,异世大陆
言归正传, 简介:三百年前的天界，斗战胜佛踏平了雷音寺，二郎真君劈开了凌霄殿。三百年后的蓝星，五好青年周拯本来一直过着做五休二、朝九晚五的‘螺丝钉’日常，只是最近几天，他的日常出现了一点小状况。【PS：已完结《我师兄实在太稳健了》、《这个人仙太过正经》、《地球第一剑》，强推严肃向小科幻《余光》！本书普群：1098711961、398929196。进群暗号：重铸天庭荣光，我辈义不容辞！】 ,连载,2022-06-13 20:53,天庭最后一个大佬,仙侠,幻想修仙
笨蛋老头, 遥望黑夜的星空，宇宙似乎总是一成不变。点点星光凝聚成一张巨大的丝网吞噬着星河万物。捕捉星河之上的奇异，铸造不灭的传奇，一切都从超级玩具工厂开始。 ,连载,2022-06-13 13:00,捕星之执宰星河,都市,异术超能
猪三不, 顺风耳、千里眼，均在科学下实现，那么七十二变呢？有人说，科学的尽头是神话。那么基因进化的尽头，是什么？答案，尽在本书中。“老唐，你开启的速度类基因基点，是哪个方向的？”这个问题让唐厅一脸的惆怅。“是......手速......””许退一脸懵。手速.......老师不是说哪方面用的越多，越容易开启基因基点吗？“老唐你到底干啥了？”“照这么说，我这是吃了十八年饭，才开启的胃部基因基点吗？”既将走上饭桶之路的程默仰天长叹。许退摸着自个的脑袋，“难道我这是用了十八年脑？”.......新苗刚出，需要兄弟姐妹们的呵护，360度卖萌打滚求收藏推荐呐。兄弟姐妹们也可以看猪三的老书《造化之王》《掌御星辰》都是精品好书，老肥了。 ,连载,2022-06-13 23:57,基因大时代,科幻,进化变异
晨星LL, 这游戏也太真实了叭！搬砖、跑腿、捡垃圾、送快递……公司最多能让你体会到996的艰辛，在这里你能体会到超级加倍的007。好了，不废话了，伟大的管理者大人喊我去搬砖了。那位大人说了，只要我们努力献上自己的肝，下个月他又能换一套全新的动力甲，到时候带我们开全新的地图，去广阔的废土捡更多的垃圾！……穿越到废土世界的楚光发现，自己解锁了避难所系统，能够从平行世界召唤名为“玩家”的生物。从那天开始，整个废土都不正经了。 ,连载,2022-06-13 14:25,这游戏也太真实了,轻小说,原生幻想
