author,comment,name,press,price,score,time
"[清],曹雪芹,著",都云作者痴，谁解其中味？,红楼梦, 人民文学出版社 , 59.70元,9.6, 1996-12 
余华,生的苦难与伟大,活着, 作家出版社 , 20.00元,9.4, 2012-8-1 
"['[英]', '乔治·奥威尔']/['刘绍铭']",栗树荫下，我出卖你，你出卖我,1984, 北京十月文艺出版社 , 28.00,9.4, 2010-4-1 
"['[哥伦比亚]', '加西亚·马尔克斯']/['范晔']",魔幻现实主义文学代表作,百年孤独, 南海出版公司 , 39.50元,9.3, 2011-6 
刘慈欣,地球往事三部曲,三体全集, 重庆出版社 , 168.00元,9.4, 2012-1-1 
"['[美国]', '玛格丽特·米切尔']/['李美华']",革命时期的爱情，随风而逝,飘, 译林出版社 , 40.00元,9.3, 2000-9 
"['J.K.罗琳', '(J.K.Rowling)']/['苏农']",从9¾站台开始的旅程,哈利·波特, 人民文学出版社 , 498.00元,9.7, 2008-12-1 
林奕含,向死而生的文学绝唱,房思琪的初恋乐园, 北京联合出版公司 , 45.00元,9.2, 2018-2 
"[明],罗贯中",是非成败转头空,三国演义（全二册）, 人民文学出版社 , 39.50元,9.3, 1998-05 
"['[英]', '乔治·奥威尔']/['荣如德']",太阳底下并无新事,动物农场, 上海译文出版社 , 10.00元,9.3, 2007-3 
"[英],阿·柯南道尔",名侦探的代名词,福尔摩斯探案全集（上中下）, 1981-8 ,68.00元,9.3, 53.00元
"['[日]', '东野圭吾']/['刘姿君']",一宗离奇命案牵出跨度近20年步步惊心的故事,白夜行, 南海出版公司 , 39.50元,9.1, 2013-1-1 
"['[法]', '圣埃克苏佩里']/['马振聘']",献给长成了大人的孩子们,小王子, 人民文学出版社 , 22.00元,9.1, 2003-8 
金庸,有情皆孽，无人不冤,天龙八部, 生活·读书·新知三联书店 , 96.00元,9.1, 1994-5 
['（丹麦）安徒生']/['叶君健'],为了争取未来的一代,安徒生童话故事集, 人民文学出版社 , 25.00元,9.2, 1997-08 
三毛,游荡的自由灵魂,撒哈拉的故事, 哈尔滨出版社 , 15.80元,9.2, 2003-8 
"['[美]', '哈珀·李']/['高红梅']",有一种东西不能遵循从众原则，那就是——人的良心,杀死一只知更鸟, 译林出版社 , 32.00元,9.2, 2012-9 
当年明月,不拘一格的历史书写,明朝那些事儿（1-9）, 中国海关出版社 , 358.20元,9.1, 2009-4 
鲁迅,新文学的第一声呐喊,呐喊, 人民文学出版社 , 0.36元,9.0, 1973-3 
王小波,沉默是沉默者的通行证,沉默的大多数, 中国青年出版社 , 27.00元,9.1, 1997-10 
"['[法]', '阿尔贝·加缪']/['柳鸣九']",人生在世，永远也不该演戏作假,局外人, 上海译文出版社 , 22.00元,9.0, 2010-8 
"['[意]', '埃莱娜·费兰特']/['陈英']",我的整个生命，只是一场为了提升社会地位的低俗斗争。,失踪的孩子, 人民文学出版社 , 62.00元,9.2, 2018-7 
钱穆,一部简明的“中国政治制度史”,中国历代政治得失, 生活·读书·新知三联书店 , 12.00元,9.2, 2001 
"['[意]', '埃莱娜·费兰特']/['陈英']",探索青年时代的激情、困惑、挣扎、背叛和失去,新名字的故事, 人民文学出版社 , 59.00元,9.1, 2017-4 
"['[以色列]', '尤瓦尔·赫拉利']/['林俊宏']",跟着人类一同走过十万年,人类简史, 中信出版社 , 68.00元,9.1, 2014-11 
"['[巴西]', '保罗·柯艾略']/['丁文林']",你自己就是最大的宝藏,牧羊少年奇幻之旅, 南海出版公司 , 25.00元,8.5, 2009-3-1 
"['[日]', '岛田洋七']/['陈宝莲']",乐观的外婆却总有神奇的办法,佐贺的超级阿嬷, 南海出版公司 , 20.00元,8.7, 2007-3 
"['埃利奥特·阿伦森Elliot', 'Aronson']/['邢占军']",美国社会心理学的《圣经》,社会性动物, 华东师范大学出版社 , 45.00元,9.1, 2007-12 
