num,score,singer,style,time,type_1,type_2
115306,9.1,Jason Mraz,民谣,2008/5/13,Import,Audio CD
115306,9.1,Coldplay,摇滚,2008/6/17,专辑,CD
115306,9.1,陈绮贞,流行,2005/9/23,专辑,CD
115306,9.1,周杰伦,流行,2001/9/14,专辑,CD
115306,9.1,五月天,摇滚,2008/10/23,专辑,CD
115306,9.1,孙燕姿,流行,2011/3/8,专辑,CD
115306,9.1,Lenka,流行,2008/9/23,专辑,Audio CD
115306,9.1,王若琳,爵士,2008/1/11,专辑,CD
115306,9.1,陈绮贞,流行,2004/2/2,单曲,CD
115306,9.1,陈绮贞,流行,2009/1/22,专辑,CD
115306,9.1,"Glen Hansard,Marketa Irglova",原声,2007/5/22,Soundtrack,CD
115306,9.1,Keren Ann,民谣,2004/8/24,Import,Audio CD
115306,9.1,Green Day,摇滚,2004/9/21,Explicit Lyrics,Audio CD
115306,9.1,张震岳 Csun Yuk,流行,2007/7/6,专辑,CD
115306,9.1,苏打绿,流行,2007/11/2,专辑,CD
115306,9.1,张悬,流行,2007/7/20,专辑,CD
115306,9.1,张悬,流行,2009/5/22,专辑,CD
115306,9.1,Damien Rice,流行,2003,专辑,CD
115306,9.1,Green Day,摇滚,2005/6/13,单曲,CD
115306,9.1,周杰伦,流行,2003/7/31,专辑,CD
115306,9.1,周杰伦,流行,2004,专辑,CD
115306,9.1,Adele,流行,2011/1/24,专辑,CD
115306,9.1,张悬,流行,2006/6/9,专辑,CD
115306,9.1,王菲,流行,2000,专辑,CD
115306,9.1,苏打绿,流行,2011/11/11,专辑,CD
22382,8.5,Amy Winehouse,放克,2006/10/30,专辑,Audio CD
22382,8.5,陈绮贞,流行,2001/11/9,Demo,CD
22382,8.5,孙燕姿,流行,2014/2/27,专辑,CD
22382,8.5,Mariah Carey,放克,2008/4/16,专辑,CD
22382,8.5,Damien Rice,民谣,2006/11/27,单曲,Audio CD
22382,8.5,陈珊妮,流行,2008/11/22,专辑,CD
22382,8.5,郑钧,摇滚,1994,专辑,CD
22382,8.5,张震岳,流行,2004/6/24,选集,CD
22382,8.5,"朱玫玲,董運昌,王雁盟,何真真",CD,2004,4,26
22382,8.5,Green Day,流行,2009/7/14,Single,Audio CD
22382,8.5,蔡依林 Jolin Tsai,流行,2003/3/7,专辑,CD
22382,8.5,五月天,流行,2011/12/20,专辑,CD
22382,8.5,Oasis,摇滚,1994/8/30,专辑,CD
22382,8.5,宇多田ヒカル,流行,1999,专辑,CD
22382,8.5,张惠妹,流行,2009/6/26,专辑,CD
22382,8.5,王力宏 Leehom Wang,流行,2008/12/26,专辑,CD
22382,8.5,The xx,摇滚,2009/8/17,专辑,CD
22382,8.5,莫文蔚,流行,2009/6/23,专辑,CD+DVD
22382,8.5,Tizzy Bac,流行,2009/2/13,专辑,CD
22382,8.5,五月天,流行,2003年4月17日,专辑,CD
22382,8.5,萧敬腾,流行,2009/7/17,专辑,CD
22382,8.5,Lady Gaga,流行,23-Sep-08,Single,Audio CD
22382,8.5,唐朝,摇滚,Dec-92,CD＋DVD,CD
22382,8.5,周杰伦,流行,2003/12/1,EP,音乐CD
22382,8.5,林俊杰,流行,2010/12/8,专辑,CD
28692,9.1,陈绮贞,流行,2002/8/2,专辑,CD
28692,9.1,The Innocence Mission,民谣,2004,专辑,CD
28692,9.1,"Timbaland,OneRepublic",放克,2007/11/6,Single,Audio CD
28692,9.1,王菲,流行,2009/6/25,选集,CD
28692,9.1,周杰伦,流行,2010/5/14,专辑,CD
28692,9.1,孙燕姿,流行,2002/5/21,专辑,CD
28692,9.1,李志,民谣,Dec-04,专辑,CD
28692,9.1,陈奕迅,流行,2006,专辑,CD
28692,9.1,五月天,流行,2011/12/20,专辑,CD
28692,9.1,陶喆,流行,2003/8/8,选集,CD
28692,9.1,Maroon 5,流行,2007/5/22,专辑,CD
28692,9.1,张悬,民谣,2008/10/20,Bootleg,数字
28692,9.1,蔡健雅 Tanya Chua,流行,2003-06-00,专辑,CD
28692,9.1,王菲,,1996,Audio CD,流行
28692,9.1,自然卷,民谣,2004,专辑,CD
28692,9.1,刘若英,流行,2010/4/16,专辑,CD
28692,9.1,Rosie Thomas,民谣,2007/3/13,专辑,Audio CD
28692,9.1,苏打绿,,2008,引进版,CD
28692,9.1,Lily Allen,流行,2009/2/9,专辑,Audio CD
28692,9.1,手嶌葵,流行,2008/3/5,Import,CD
28692,9.1,李志,民谣,2009/10/16,专辑,CD
28692,9.1,大乔小乔,民谣,2007/7/12,平装版,CD
28692,9.1,范晓萱,流行,2004,专辑,CD
28692,9.1,卡奇社,流行,2007/4/20,专辑,CD
28692,9.1,冯曦妤,流行,2008/11/20,专辑,CD
38949,8.7,Chris Garneau,民谣,2007/1/23,引进版,Audio CD
38949,8.7,孙燕姿,流行,2003/8/22,专辑,CD
38949,8.7,陈奕迅,流行,2003/11/20,选集,CD
38949,8.7,苏打绿,民谣,2009/5/8,专辑,CD
38949,8.7,盧廣仲,民谣,2008/5/27,专辑,CD
38949,8.7,梁静茹,流行,2007/11/9,专辑,CD
38949,8.7,陈绮贞,民谣,2005,选集,CD
38949,8.7,Joe Hisaishi,原声,1999/5/19,专辑,CD
38949,8.7,Taylor Swift,流行,2008/11/11,Enhanced,Audio CD
38949,8.7,Mika,流行,2007/2/5,专辑,CD
38949,8.7,陈奕迅,流行,2009/3/23,专辑,CD
38949,8.7,林宥嘉,流行,2008/6/3,专辑,CD
38949,8.7,Bruno Coulais,原声,2004/5/3,Soundtrack,Audio CD
38949,8.7,范晓萱&100%,摇滚,2009/8/10,专辑,CD
38949,8.7,Damien Rice,民谣,2006/11/6,专辑,Audio CD
38949,8.7,王菲,流行,2003,专辑,CD
38949,8.7,曹方,流行,2005年12月,专辑,CD
38949,8.7,李志,民谣,2007/1/11,CD,CD
38949,8.7,方大同,放克,2009/8/11,自选集,CD
38949,8.7,周杰伦,流行,2006/9/5,专辑,CD
38949,8.7,孙燕姿,流行,2001/7/9,专辑,CD
38949,8.7,孙燕姿,流行,2005/10/7,专辑,CD
38949,8.7,The Weepies,民谣,2006,Import,Audio CD
38949,8.7,陶喆,流行,2002/8/9,专辑,CD
38949,8.7,Avril Lavigne,摇滚,2004/5/12,Import,Audio CD
26361,9.2,陈绮贞,CD DVD,2007/5/18,演唱会,Live
26361,9.2,朴树,流行,Jan-99,专辑,CD
26361,9.2,GALA,摇滚,2004,专辑,CD
26361,9.2,孙燕姿,流行,2002年1月,专辑,CD
26361,9.2,李宗盛 Jonathan,流行,2007/9/28,专辑,CD
26361,9.2,曹方,流行,2007/11/20,EP,CD
26361,9.2,窦唯,摇滚,Oct-94,专辑,CD
26361,9.2,"周杰倫,Terdsak Janpan,詹宇豪,陳承麒,黃婉琦,姚蘇蓉,黃俊郎,江語晨,長榮交響樂團",原声,2007/8/13,Soundtrack,CD
26361,9.2,梁静茹 Fish,流行,2005/9/16,专辑,CD
26361,9.2,James Blunt,流行,2007/9/18,Import,Audio CD
26361,9.2,飞儿乐团 F.I.R.,流行,2004/4/29,专辑,CD
26361,9.2,陈奕迅,流行,2009/9/23,专辑,CD
26361,9.2,Linkin Park,摇滚,2007/5/15,专辑,CD
26361,9.2,"蔡健雅,Tanya",流行,2007/10/19,专辑,CD
26361,9.2,Adele,放克,2011/1/24,单曲,数字(Digital)
26361,9.2,苏打绿,流行,2006/9/18,EP,CD
26361,9.2,Pink Floyd,摇滚,1973,专辑,黑胶
26361,9.2,王菲,流行,2001,专辑,CD
26361,9.2,逃跑计划,摇滚,2011/4/12,单曲,数字(Digital)
26361,9.2,GALA,摇滚,2011/3/24,专辑,CD
26361,9.2,莫文蔚,流行,2010/7/26,专辑,CD
26361,9.2,陈奕迅,流行,2003,专辑,CD
26361,9.2,宋冬野,民谣,2013/8/26,专辑,CD
26361,9.2,宇多田ヒカル,流行,2008/5/21,CD IMPORT,Audio CD
36760,9.3,Coldplay,摇滚,2000/7/3,EP,Audio CD
36760,9.3,Keane,摇滚,2004,专辑,Audio CD
36760,9.3,陈奕迅,流行,2005/6/7,专辑,CD+DVD
36760,9.3,Maximilian Hecker,摇滚,2005,Import,Audio CD
36760,9.3,"久石譲(Joe Hisaishi),杉並児童合唱団,井上杏美",原声,1993/12/21,Soundtrack,Audio CD
36760,9.3,崔健,摇滚,1989,专辑,CD
36760,9.3,"棉花糖,katncandix2",民谣,2009/5/1,专辑,CD
36760,9.3,好妹妹乐队,民谣,2012/7/1,专辑,CD
36760,9.3,陈绮贞,民谣,1998/7/14,专辑,CD
36760,9.3,方大同,放克,2007/12/28,专辑,CD
36760,9.3,方大同,流行,Dec-06,专辑,CD
36760,9.3,逃跑计划,摇滚,2014/12/9,专辑,CD
36760,9.3,"盧廣仲,卢广仲",民谣,2009/10/30,专辑,CD
36760,9.3,Nirvana,摇滚,2002/10/29,Extra tracks,Audio CD
36760,9.3,Coldplay,摇滚,2002,专辑,Audio CD
46046,9.2,曲婉婷,流行,2010/2/24,单曲,数字(Digital)
46046,9.2,Ennio Morricone,原声,1999/10/12,Soundtrack,Audio CD
46046,9.2,张楚,摇滚,1994,专辑,CD
46046,9.2,徐佳莹,流行,2009/5/29,专辑,CD
46046,9.2,Avril Lavigne,摇滚,2007/4/17,Import,Audio CD
46046,9.2,五月天,摇滚,2005/11/18,专辑,CD
46046,9.2,The Beatles,摇滚,2000,选集,CD
46046,9.2,周杰伦,放克,2008/10/9,专辑,CD
46046,9.2,Coldplay,摇滚,2005/6/7,专辑,CD
46046,9.2,Adele,放克,2008/1/28,Import,Audio CD
46046,9.2,五月天,摇滚,2003/11/11,专辑,CD
46046,9.2,孙燕姿,流行,2000/6/8,专辑,CD
46046,9.2,陈奕迅,流行,2010/3/12,EP,CD+DVD
46046,9.2,陈绮贞,流行,2008/7/13,单曲,CD
46046,9.2,田馥甄,流行,2011/9/2,专辑,CD
36760,9.3,"The Velvet Underground,Nico",摇滚,Apr-67,专辑,CD
36760,9.3,"Eminem,Rihanna",说唱,2010/8/20,Single,Audio CD
36760,9.3,王菲,流行,1994,专辑,CD
36760,9.3,Original Soundtrack,CD,2009/3/30,Import,Soundtrack
36760,9.3,Oasis,摇滚,1995,专辑,CD
36760,9.3,陈绮贞,民谣,2007/2/8,单曲,Audio CD
36760,9.3,Salyu,原声,2001,专辑,CD
36760,9.3,Evanescence,摇滚,2003,专辑,Audio CD
36760,9.3,黑豹,摇滚,1992/12/1,专辑,CD
36760,9.3,苏打绿,流行,2010/8/27,视频,CD+DVD
46046,9.2,梁静茹,流行,2006/10/6,专辑,CD
46046,9.2,王菲,流行,2002,选集,CD
46046,9.2,陈奕迅,流行,2011/2/22,EP,CD
46046,9.2,Norah Jones,爵士,2002,专辑,CD
46046,9.2,朴树,原声,2014/7/16,单曲,数字(Digital)
46046,9.2,陈奕迅,流行,2007/4/24,专辑,CD
46046,9.2,Green Day,摇滚,2009/5/15,专辑,CD
46046,9.2,張懸,流行,2012/8/10,专辑,CD
46046,9.2,王菲,流行,1998,专辑,CD
58598,8.7,林宥嘉,流行,2009/10/30,专辑,CD
58598,8.7,Nirvana,摇滚,1991,专辑,CD
58598,8.7,周杰伦,流行,2002/7/19,专辑,CD
