area,env,first,floor,house_name,location,name,price,second,title
20,"合租,朝南,有电梯,3号线",3,高层(共33层)                                                            ,,高新区-科技西路 科技路82号,城市风景都市印象,600,2,免押金直租丈八北路地铁口 枫韵蓝湾都市印象高新医院西安全房源
15,"合租,朝南,有电梯,3/5号线",3,高层(共20层)                                                            ,,"高新区-大寨路 团结南路,近无名路",响塘德苑,599,1,可月付 丈八北路地铁口 安琪儿医院 晶鑫商业广场 拎包入住
30,"合租,朝南,有电梯,6号线",2,中层(共32层)                                                            ,,高新区-木塔寺公园 高新路88号,尚品国际,850,1,押一付一 两室合租 木塔寺地铁口 尚品国际 新长安广场 主卧
29,"合租,朝南,有电梯,3/5号线",3,高层(共18层)                                                            ,,高新区-大寨路 大寨路1号,华府新桃园,850,2,延平门 金光门地铁 大寨路 太和时代广场 华府新桃园 可月付
25,"合租,朝南,有电梯,3/5号线",3,高层(共30层)                                                            ,,"高新区-大寨路 创新路,近大寨路",融侨城(东区一期),700,2,延平门 金光门地铁 旺座国际城 太和时代广场 融侨城 可月付
25,"合租,朝南,有电梯,3/5号线",3,中层(共30层)                                                            ,,高新区-大寨路 大寨路99号,恒大城,500,2,可月付 大寨路 恒大城可短租 金域牟嘉旁中航华府 铭城国际
25,"合租,朝南,有电梯,3/5号线",3,低层(共24层)                                                            ,,"高新区-大寨路 大寨路,近丈八北路",新乐城,680,2,新乐城 丈八北路 恒大城商业街 晶鑫商业广场 华润万家
35,"合租,朝南,有电梯,3号线",3,中层(共34层)                                                            ,,高新区-科技西路 科技路82号,城市风景都市印象,890,2,月付 丈八北路地铁 都市印象 天朗蓝湖树 左岸春天 枫韵蓝湾
26,"合租,朝南,有电梯,3/5号线",3,高层(共28层)                                                            ,,高新区-大寨路 大寨路99号,恒大城,730,1,可月付 丈八北路 大寨路 阳台落地窗 铭城国际 中航华府
30,"合租,朝南,有电梯",5,低层(共28层)                                                            ,,高新区-科技四路西段 高新六路43号,绿港花园,600,2,月付 科技四路 南窑头 绿港花园 立人科技 九鼎城 实墙卧室
28,"合租,朝南,有电梯,6号线",3,低层(共12层)                                                            ,,高新区-唐延路 科技四路2号,天地源枫林绿洲,860,2,可月付短租 木塔寺地铁口 科技四路 旺座现代城 洛克大厦
