author,name,price,state,type
然小糖,空间之农家小福女,7,已完结,古代言情
清幽竹林,女配修仙记之一路登仙,5,已完结,仙侠奇缘
嘿普斯猫,两个女人的伟大前程,5,已完结,现代言情
焉画,重生八零神医小媳妇,4,已完结,现代言情
小酱包,丹道仙妃,3,已完结,仙侠奇缘
然小糖,重生掌家小商女,3,连载中,古代言情
尹梓苏,掌家小商女,3,已完结,古代言情
帘半卷,重生农家辣媳,3,已完结,现代言情
佯装假寐,毒医杀手妃,3,已完结,玄幻言情
高擎,湛少，你老婆有毒,2,已完结,现代言情
帘半卷,重生八零俏医媳,2,已完结,现代言情
舞清影,他从暖风来,2,已完结,现实生活
薏蓝,星际重生之异能小可爱,2,已完结,科幻空间
卫淡,小仙是好仙,2,已完结,仙侠奇缘
蔡欣何,医仙女侯：相府大小姐,2,连载中,古代言情
暖暖的一,我家贵妃在炼药,1,连载中,古代言情
醉十步,重生校园坑大佬,1,已完结,浪漫青春
某只雪,绝世魔妃太逆天,1,已完结,玄幻言情
龙贝儿,女王从军记,1,已完结,现代言情
若兰慕雪,网王之萝莉变御姐,1,已完结,轻小说
